var,variable,value
CDR,cdrdt,-0.544689599447264
bet,eps,-0.525655890404922
eps,alph,-0.499124820423205
pp04,OR04,-0.32523163772348
cdrdt,drnX,0.301536820563421
alph,cdrdt,-0.285739171917473
bet,pp,-0.278086888937934
bet,drnX,-0.243169427993417
alph,OR514,0.198517055335366
eps,CDR,-0.179192711624258
eps,drnH,-0.157084204232524
bet,pp04,-0.143990430830192
bet,OR04,-0.120717206598731
drnX,drnH,-0.113382901222379
ari0,eps,-0.111815038253569
CDR,drnH,0.110541455858143
pp,cdrdt,0.108469433143691
pp,OR04,0.103361691823142
alph,drnH,0.102296880637145
alph,drnX,-0.100000888293301
bet,arig,0.0968724640874488
eps,cdrdt,0.0942260116129427
alph,cfrpn,-0.0925230593187713
CDR,drnX,0.0918966559748413
eps,pp04,0.0843512898517069
ari0,CDR,-0.0826811918306102
pp,eps,-0.0802653867785071
rel,alph,-0.0764887118690264
ari0,alph,0.0707465154958802
pp,OR514,-0.0700559650492362
eps,rel,-0.0619005910662085
bet,alph,0.0610285336520651
OR04,OR514,0.0595156180200287
bet,OR514,-0.0566293702366098
pp,drnH,0.0565673845764364
CDR,cfrpn,0.0533169601899879
eps,drnX,-0.0510425831943971
bet,cfrpn,0.0503335318944712
pp,pp04,0.049984896033783
cdrdt,txf,0.048170674777388
ari0,drnH,0.0468388846537665
alph,OR04,0.0462797174333255
pp04,CDR,-0.0460515309171442
alph,HR,-0.0454188044236222
cdrdt,OR514,-0.0422223171886008
cdrdt,cfrpn,0.0420732486629676
bet,drnH,-0.0414952185377981
ari0,HR,0.0412500111716137
pp04,alph,0.0409516980813289
pp,cfrpp,0.0381458975866161
ari0,cdrdt,0.0373134001690387
bet,rel,-0.0369864741306241
eps,cfrpp,0.0365029995806749
pp,HR,0.0363817874825295
pp,rel,-0.0362502464567568
cdrdt,cfrpp,0.0355782243932843
bet,cfrpp,-0.0352992554374627
bet,cdrdt,-0.034861345052512
OR514,drnX,-0.0343498078320535
bet,CDR,0.0338175736649363
v,alph,-0.031983231260567
cdrdt,OR04,0.0312689352738589
drnH,cfrpn,0.0304631057585136
rel,cdrdt,-0.0302551973283071
HR,drnX,-0.0300670621850023
alph,CDR,0.0291884584479659
pp04,drnX,-0.0291689808752626
drnX,cfrpn,0.028676256873059
ari0,pp,-0.028562684116483
ari0,drnX,-0.0283055374852678
v,OR04,0.0280774228939439
OR514,cfrpn,-0.0278816492108226
HR,CDR,0.0274703895817584
rel,drnX,-0.0272573748603925
bet,v,-0.0268265675186578
CDR,OR514,-0.0263252413517493
eps,OR04,0.026252555779127
pp04,cfrpn,-0.0262229922074075
arig,cfrn,0.0259271285582809
CDR,OR04,-0.0257416964398448
cdrdt,drnH,0.0256538271471153
arig,drnH,-0.0253660547506445
eps,OR514,-0.0247239730666202
pp,alph,-0.0242388094066189
ari0,cfrpp,-0.0234324926622075
v,rel,-0.0226826193728322
HR,OR514,0.0223918498425131
HR,cfrpp,0.0222708252489865
v,HR,-0.0217844126570415
eps,cfrn,-0.021696530460631
v,CDR,-0.0216835704544554
HR,cdrdt,-0.0216215249689884
arig,OR04,0.0210041345041311
rel,CDR,0.0209524592203961
ari0,OR514,0.020546379827381
v,pp,-0.0196857011361008
pp,cfrpn,-0.0196464559726609
ari0,txf,0.0195620002741139
pp04,drnH,-0.0183284261558343
cdrdt,cfrn,-0.0175723687891539
v,OR514,0.0162335808306502
drnH,cfrn,-0.0160939012915803
bet,HR,-0.0160570394121992
OR04,cfrpn,0.0159847297484194
CDR,txf,-0.0154164340665546
v,drnH,0.0152103621681606
pp04,cfrpp,-0.0151027347691454
bet,ari0,0.0150175150632424
pp,drnX,-0.0145573963662784
eps,cfrpn,-0.0141443709530121
arig,eps,0.0138041609696077
v,drnX,-0.0133534771431402
OR04,drnH,-0.013327712394936
OR514,drnH,-0.0132793838871987
pp,txf,0.0132627319951632
ari0,rel,-0.0129565191388403
drnX,cfrn,0.0122453003970851
alph,txf,0.0119250200018394
OR514,txf,0.0115401101155231
eps,txf,0.0114964888959792
ari0,OR04,-0.0112924021324545
v,cfrpn,0.0112440984024364
drnH,txf,0.0110252911458958
pp04,HR,0.0107345285621786
v,cdrdt,0.0106422237458297
bet,cfrn,0.0105414789779766
HR,drnH,-0.0103695293489438
pp04,cdrdt,-0.0103399134012507
drnX,txf,0.0102327076511527
OR514,cfrn,-0.0102255296769894
pp04,OR514,-0.0101323956640157
pp04,cfrn,0.00990988828968744
v,eps,-0.00965968404035197
v,txf,-0.00957313332250402
rel,OR04,-0.00943191544274761
txf,cfrpp,-0.00931642742328331
eps,HR,0.00927557270093626
rel,pp04,-0.0089200632425326
cfrpn,cfrpp,-0.00891395038262797
CDR,cfrpp,-0.00889449239608453
arig,drnX,0.00871120357314848
arig,alph,-0.00862661908442854
OR04,cfrpp,0.00856093178281011
ari0,arig,-0.00850182788673511
txf,cfrn,-0.00846434451976213
v,pp04,-0.00789334838609589
drnX,cfrpp,0.00781782338650664
drnH,cfrpp,0.00771795406151417
OR04,txf,0.00705558657258032
arig,cfrpp,-0.0069807106161064
rel,cfrn,0.00685766822346471
v,cfrn,0.00676648595820151
cfrn,cfrpp,0.00667470113557853
arig,CDR,-0.00629191421113017
alph,cfrpp,-0.00623560896625574
arig,pp,0.00614600230374514
v,ari0,0.00613286188507214
arig,cdrdt,-0.00600589491865567
OR514,cfrpp,0.00591692934003593
arig,rel,-0.00578382732052002
ari0,cfrpn,-0.00492825659383199
arig,HR,0.00450396721200423
CDR,cfrn,0.00449937015231914
v,cfrpp,-0.00436016433798549
OR04,drnX,-0.00425675806483516
rel,cfrpn,-0.00406024176429718
OR04,cfrn,-0.00404252909631829
ari0,cfrn,-0.00402646120682632
HR,OR04,0.00381003532955087
HR,txf,0.00364345116580303
HR,cfrn,0.0035004025185396
rel,cfrpp,-0.00330857706839755
pp,cfrn,-0.00316302324671359
arig,txf,0.00303125730019425
HR,cfrpn,0.00263787668091976
rel,txf,-0.00257270646942457
v,arig,-0.00247416302270567
rel,drnH,-0.00237578911837398
arig,cfrpn,0.00231949979299013
rel,OR514,-0.00215606832955601
arig,OR514,0.00213664147980919
bet,txf,0.00200708445316489
pp,CDR,0.00180494570904055
rel,HR,-0.00179703894764382
alph,cfrn,0.00165416539637846
ari0,pp04,0.00119014572376084
pp04,txf,-0.00105505861643615
txf,cfrpn,0.00104204886415777
arig,pp04,-0.00080577846737685
cfrn,cfrpn,2.90982531355503e-05
